,Random Forest HOO Accuracy,Decision Tree HOO Accuracy,Feature  1,Feature  2,Feature  3,Feature  4,Feature  5
107,0.7380952380952381,0.8285714285714285,molWeight,molVolume,molLogP,nof_Atoms,nof_HBA
156,0.7857142857142858,0.8285714285714285,molWeight,molVolume,molLogP,nof_HBA,Complexity
280,0.7047619047619047,0.8190476190476189,molWeight,molVolume,molLogP,nof_negCharge,nof_SO3H
474,0.7619047619047619,0.8238095238095239,molWeight,molVolume,molLogS,PSA/Area,negCharge/Volume
483,0.7428571428571429,0.8238095238095238,molWeight,molVolume,molLogS,PSA/Area,nof_acetyl
625,0.7714285714285715,0.8190476190476189,molWeight,molVolume,molLogS,Complexity,nof_SO3H
791,0.7666666666666667,0.8190476190476189,molWeight,molVolume,molPSA,molArea,Complexity
964,0.7904761904761904,0.8523809523809524,molWeight,molVolume,molPSA,Complexity,nof_posCharge
974,0.6857142857142857,0.8190476190476191,molWeight,molVolume,molPSA,Complexity,nof_Fragments
1163,0.8190476190476189,0.8238095238095239,molWeight,molVolume,molArea,nof_Atoms,molCharge_total
1174,0.8238095238095239,0.8285714285714286,molWeight,molVolume,molArea,nof_Atoms,negCharge/Volume
1231,0.7857142857142858,0.8285714285714285,molWeight,molVolume,molArea,nof_HBD,Complexity
1290,0.7904761904761904,0.8190476190476189,molWeight,molVolume,molArea,Complexity,nof_negCharge
1292,0.8,0.8523809523809524,molWeight,molVolume,molArea,Complexity,C_R2
1293,0.8285714285714285,0.8476190476190476,molWeight,molVolume,molArea,Complexity,C_R1
1296,0.7952380952380953,0.8142857142857143,molWeight,molVolume,molArea,Complexity,posCharge/Volume
1297,0.7952380952380953,0.8285714285714285,molWeight,molVolume,molArea,Complexity,negCharge/Volume
1301,0.8238095238095238,0.880952380952381,molWeight,molVolume,molArea,Complexity,nof_SO3H
1407,0.7619047619047619,0.8285714285714285,molWeight,molVolume,molArea,posCharge/Volume,nof_Fragments
1470,0.7380952380952379,0.8238095238095238,molWeight,molVolume,PSA/Area,nof_Atoms,C_R1
1496,0.7047619047619047,0.8238095238095239,molWeight,molVolume,PSA/Area,nof_Chirals,posCharge/Volume
1499,0.7047619047619047,0.8476190476190476,molWeight,molVolume,PSA/Area,nof_Chirals,nof_Fragments
1645,0.7666666666666666,0.8285714285714285,molWeight,molVolume,PSA/Area,a_heavy,negCharge/Volume
1666,0.7952380952380953,0.8238095238095238,molWeight,molVolume,PSA/Area,C_R2,nof_COOH
1765,0.7380952380952381,0.8190476190476191,molWeight,molVolume,nof_Atoms,nof_Chirals,nof_posCharge
1879,0.7904761904761906,0.8238095238095238,molWeight,molVolume,nof_Atoms,Complexity,nof_NH2
1923,0.7666666666666667,0.8285714285714286,molWeight,molVolume,nof_Atoms,a_heavy,nof_Fragments
1928,0.6809523809523811,0.8238095238095238,molWeight,molVolume,nof_Atoms,a_heavy,nof_COOH
1970,0.7333333333333333,0.8238095238095238,molWeight,molVolume,nof_Atoms,C_sp3,posCharge/Volume
2023,0.8238095238095238,0.8285714285714285,molWeight,molVolume,nof_Atoms,nof_SO3H,nof_COOH
2132,0.8190476190476189,0.8190476190476189,molWeight,molVolume,nof_Chirals,Complexity,nof_NH2
2361,0.7666666666666667,0.8238095238095239,molWeight,molVolume,nof_HBA,Complexity,nof_SO3H
2364,0.7904761904761906,0.8285714285714286,molWeight,molVolume,nof_HBA,Complexity,nof_COOH
2434,0.7619047619047619,0.8238095238095238,molWeight,molVolume,nof_HBA,C_R1,nof_Fragments
2617,0.7047619047619047,0.8238095238095238,molWeight,molVolume,nof_HBD,a_heavy,nof_Fragments
2920,0.8,0.8571428571428573,molWeight,molVolume,nof_Rings,Complexity,nof_posCharge
3068,0.7952380952380953,0.8285714285714286,molWeight,molVolume,nof_Rings,nof_Fragments,nof_OH
3172,0.7095238095238094,0.8238095238095238,molWeight,molVolume,Complexity,C_R0,nof_SO3H
3174,0.7619047619047619,0.8285714285714285,molWeight,molVolume,Complexity,C_R0,nof_NH2
3210,0.7,0.8285714285714285,molWeight,molVolume,Complexity,nof_RotB,nof_SO3H
3230,0.8,0.8285714285714285,molWeight,molVolume,Complexity,nof_SO3H,nof_NH2
3237,0.7857142857142858,0.8190476190476191,molWeight,molVolume,Complexity,nof_SH,nof_acetyl
3336,0.7952380952380953,0.8190476190476189,molWeight,molVolume,nof_posCharge,negCharge/Volume,nof_Fragments
3610,0.7380952380952381,0.8285714285714285,molWeight,molVolume,C_R2,C_R1,nof_Fragments
3616,0.6761904761904762,0.8571428571428571,molWeight,molVolume,C_R2,C_R1,nof_OH
3871,0.7047619047619047,0.8761904761904763,molWeight,molVolume,C_sp3,nof_Fragments,nof_COOH
4544,0.6428571428571429,0.8238095238095239,molWeight,molLogP,molPSA,nof_HBA,C_R1
4622,0.8190476190476191,0.8523809523809524,molWeight,molLogP,molPSA,Complexity,C_R1
4842,0.7380952380952381,0.8285714285714285,molWeight,molLogP,molArea,nof_Chirals,Complexity
4947,0.8,0.8238095238095238,molWeight,molLogP,molArea,Complexity,C_R1
5037,0.7619047619047618,0.8238095238095238,molWeight,molLogP,molArea,C_R0,posCharge/Volume
5059,0.7619047619047618,0.8285714285714286,molWeight,molLogP,molArea,posCharge/Volume,negCharge/Volume
5067,0.8238095238095238,0.8285714285714285,molWeight,molLogP,molArea,posCharge/Volume,nof_OH
5088,0.6809523809523811,0.8238095238095239,molWeight,molLogP,molArea,nof_Fragments,nof_SH
5096,0.7952380952380953,0.8190476190476191,molWeight,molLogP,molArea,nof_PO4,nof_COOH
5102,0.6714285714285715,0.8238095238095238,molWeight,molLogP,molArea,nof_SO3H,nof_OH
5278,0.7380952380952381,0.8238095238095239,molWeight,molLogP,PSA/Area,nof_negCharge,a_heavy
5285,0.7619047619047619,0.8238095238095238,molWeight,molLogP,PSA/Area,nof_negCharge,nof_RotB
5452,0.7619047619047619,0.8285714285714286,molWeight,molLogP,nof_Atoms,nof_HBA,nof_PO4
5563,0.7952380952380953,0.8190476190476189,molWeight,molLogP,nof_Atoms,nof_negCharge,nof_PO4
5785,0.7952380952380953,0.8238095238095238,molWeight,molLogP,nof_Chirals,Complexity,nof_SH
5833,0.7619047619047619,0.8190476190476191,molWeight,molLogP,nof_Chirals,a_heavy,nof_SH
5984,0.7714285714285714,0.8476190476190476,molWeight,molLogP,nof_HBA,nof_Rings,Complexity
6004,0.7952380952380953,0.8190476190476189,molWeight,molLogP,nof_HBA,Complexity,nof_negCharge
6228,0.7,0.8285714285714285,molWeight,molLogP,nof_HBD,Complexity,nof_COOH
6230,0.7666666666666667,0.8238095238095239,molWeight,molLogP,nof_HBD,Complexity,nof_acetyl
6410,0.8523809523809524,0.8285714285714285,molWeight,molLogP,molCharge_total,Complexity,posCharge/Volume
6425,0.7619047619047619,0.8238095238095239,molWeight,molLogP,molCharge_total,nof_posCharge,C_R0
6580,0.7666666666666667,0.8571428571428571,molWeight,molLogP,nof_Rings,Complexity,C_sp3
7019,0.7380952380952379,0.8190476190476189,molWeight,molLogP,nof_posCharge,nof_SO3H,nof_SH
7229,0.7285714285714285,0.8238095238095238,molWeight,molLogP,a_heavy,nof_RotB,nof_OH
7772,0.7904761904761904,0.8857142857142858,molWeight,molLogS,molPSA,nof_Atoms,nof_negCharge
7790,0.7333333333333333,0.8285714285714285,molWeight,molLogS,molPSA,nof_Chirals,nof_HBD
7815,0.7285714285714285,0.8285714285714285,molWeight,molLogS,molPSA,nof_HBA,Complexity
7823,0.7714285714285714,0.8285714285714285,molWeight,molLogS,molPSA,nof_HBA,posCharge/Volume
7836,0.8285714285714285,0.8238095238095238,molWeight,molLogS,molPSA,nof_HBD,Complexity
7895,0.8571428571428571,0.8571428571428571,molWeight,molLogS,molPSA,Complexity,nof_negCharge
7900,0.7380952380952379,0.8190476190476189,molWeight,molLogS,molPSA,Complexity,C_sp3
7928,0.7666666666666666,0.8238095238095239,molWeight,molLogS,molPSA,nof_posCharge,nof_acetyl
7953,0.6523809523809524,0.8523809523809524,molWeight,molLogS,molPSA,a_heavy,nof_PO4
8185,0.7952380952380952,0.8238095238095238,molWeight,molLogS,molArea,molCharge_total,C_R2
8222,0.8476190476190476,0.8285714285714285,molWeight,molLogS,molArea,Complexity,C_R2
8229,0.8523809523809524,0.8285714285714285,molWeight,molLogS,molArea,Complexity,nof_Fragments
8234,0.8142857142857143,0.880952380952381,molWeight,molLogS,molArea,Complexity,nof_COOH
8277,0.8285714285714286,0.8238095238095238,molWeight,molLogS,molArea,a_heavy,nof_Fragments
8419,0.6809523809523811,0.8238095238095239,molWeight,molLogS,PSA/Area,nof_Chirals,nof_posCharge
8440,0.6238095238095238,0.8238095238095238,molWeight,molLogS,PSA/Area,nof_HBA,Complexity
8442,0.7047619047619047,0.8523809523809524,molWeight,molLogS,PSA/Area,nof_HBA,nof_negCharge
8445,0.7619047619047619,0.8285714285714285,molWeight,molLogS,PSA/Area,nof_HBA,C_R1
8463,0.7904761904761904,0.8238095238095238,molWeight,molLogS,PSA/Area,nof_HBD,nof_negCharge
8481,0.7666666666666667,0.8142857142857143,molWeight,molLogS,PSA/Area,molCharge_total,Complexity
8510,0.7333333333333333,0.8523809523809524,molWeight,molLogS,PSA/Area,nof_Rings,nof_RotB
8514,0.7095238095238096,0.8190476190476189,molWeight,molLogS,PSA/Area,nof_Rings,nof_SH
8518,0.7714285714285714,0.8238095238095238,molWeight,molLogS,PSA/Area,nof_Rings,nof_acetyl
8522,0.7904761904761904,0.8285714285714285,molWeight,molLogS,PSA/Area,Complexity,C_R2
8524,0.8190476190476189,0.8142857142857143,molWeight,molLogS,PSA/Area,Complexity,C_R0
8575,0.7047619047619047,0.8238095238095239,molWeight,molLogS,PSA/Area,a_heavy,negCharge/Volume
8588,0.7904761904761904,0.8238095238095239,molWeight,molLogS,PSA/Area,C_R2,posCharge/Volume
8604,0.7333333333333333,0.8571428571428571,molWeight,molLogS,PSA/Area,C_R1,nof_Fragments
8609,0.7857142857142857,0.8285714285714285,molWeight,molLogS,PSA/Area,C_R1,nof_COOH
8619,0.6428571428571429,0.8523809523809524,molWeight,molLogS,PSA/Area,C_R0,nof_SH
