,Random Forest HOO Accuracy,Decision Tree HOO Accuracy,Feature  1,Feature  2,Feature  3,Feature  4
172,0.8529411764705882,0.7647058823529411,molWeight,molVolume,nof_Chirals,negCharge/Volume
173,0.7941176470588235,0.7058823529411765,molWeight,molVolume,nof_Chirals,nof_RotB
174,0.7941176470588235,0.7647058823529411,molWeight,molVolume,nof_Chirals,nof_Fragments
175,0.8529411764705882,0.7058823529411765,molWeight,molVolume,nof_Chirals,nof_PO4
176,0.8529411764705882,0.7352941176470589,molWeight,molVolume,nof_Chirals,nof_SO3H
177,0.8529411764705882,0.7058823529411765,molWeight,molVolume,nof_Chirals,nof_SH
179,0.8235294117647058,0.7058823529411765,molWeight,molVolume,nof_Chirals,nof_COOH
180,0.8529411764705882,0.7058823529411765,molWeight,molVolume,nof_Chirals,nof_OH
181,0.8235294117647058,0.7352941176470589,molWeight,molVolume,nof_Chirals,nof_acetyl
185,0.7941176470588235,0.8529411764705882,molWeight,molVolume,nof_HBA,Complexity
190,0.7941176470588235,0.7058823529411765,molWeight,molVolume,nof_HBA,C_R1
198,0.7647058823529411,0.7058823529411765,molWeight,molVolume,nof_HBA,nof_SO3H
204,0.8235294117647058,0.7352941176470589,molWeight,molVolume,nof_HBD,molCharge_total
205,0.7941176470588235,0.7352941176470589,molWeight,molVolume,nof_HBD,nof_Rings
206,0.7941176470588235,0.7941176470588235,molWeight,molVolume,nof_HBD,Complexity
207,0.8235294117647058,0.7941176470588235,molWeight,molVolume,nof_HBD,nof_posCharge
208,0.7941176470588235,0.7647058823529411,molWeight,molVolume,nof_HBD,nof_negCharge
209,0.8235294117647058,0.7941176470588235,molWeight,molVolume,nof_HBD,a_heavy
210,0.7941176470588235,0.7647058823529411,molWeight,molVolume,nof_HBD,C_R2
211,0.7647058823529411,0.7058823529411765,molWeight,molVolume,nof_HBD,C_R1
213,0.7941176470588235,0.7647058823529411,molWeight,molVolume,nof_HBD,C_sp3
214,0.7941176470588235,0.7941176470588235,molWeight,molVolume,nof_HBD,posCharge/Volume
215,0.7941176470588235,0.7058823529411765,molWeight,molVolume,nof_HBD,negCharge/Volume
216,0.7941176470588235,0.7058823529411765,molWeight,molVolume,nof_HBD,nof_RotB
217,0.7941176470588235,0.7352941176470589,molWeight,molVolume,nof_HBD,nof_Fragments
218,0.8529411764705882,0.7941176470588235,molWeight,molVolume,nof_HBD,nof_PO4
219,0.8235294117647058,0.7941176470588235,molWeight,molVolume,nof_HBD,nof_SO3H
220,0.8235294117647058,0.7941176470588235,molWeight,molVolume,nof_HBD,nof_SH
222,0.8529411764705882,0.7647058823529411,molWeight,molVolume,nof_HBD,nof_COOH
