,Random Forest HOO Accuracy,Decision Tree HOO Accuracy,Feature  1,Feature  2,Feature  3,Feature  4,Feature  5
8,0.7619047619047619,0.5857142857142857,molWeight,molVolume,molLogP,molLogS,molCharge_total
10,0.7571428571428571,0.6857142857142857,molWeight,molVolume,molLogP,molLogS,Complexity
14,0.7666666666666667,0.5285714285714286,molWeight,molVolume,molLogP,molLogS,C_R2
18,0.7666666666666667,0.6190476190476191,molWeight,molVolume,molLogP,molLogS,posCharge/Volume
21,0.8,0.6190476190476191,molWeight,molVolume,molLogP,molLogS,nof_Fragments
29,0.7666666666666667,0.7666666666666667,molWeight,molVolume,molLogP,molPSA,molArea
34,0.7714285714285714,0.6142857142857142,molWeight,molVolume,molLogP,molPSA,nof_HBD
37,0.8238095238095238,0.6428571428571429,molWeight,molVolume,molLogP,molPSA,Complexity
39,0.7904761904761904,0.6476190476190475,molWeight,molVolume,molLogP,molPSA,nof_negCharge
41,0.7666666666666667,0.6238095238095238,molWeight,molVolume,molLogP,molPSA,C_R2
45,0.7904761904761904,0.6809523809523811,molWeight,molVolume,molLogP,molPSA,posCharge/Volume
49,0.8,0.6809523809523811,molWeight,molVolume,molLogP,molPSA,nof_PO4
56,0.7714285714285714,0.7095238095238096,molWeight,molVolume,molLogP,molArea,PSA/Area
58,0.8238095238095239,0.6190476190476191,molWeight,molVolume,molLogP,molArea,nof_Chirals
59,0.7619047619047619,0.6761904761904762,molWeight,molVolume,molLogP,molArea,nof_HBA
60,0.7666666666666667,0.7333333333333333,molWeight,molVolume,molLogP,molArea,nof_HBD
61,0.7904761904761904,0.7,molWeight,molVolume,molLogP,molArea,molCharge_total
62,0.7904761904761904,0.6761904761904761,molWeight,molVolume,molLogP,molArea,nof_Rings
63,0.8238095238095238,0.8,molWeight,molVolume,molLogP,molArea,Complexity
65,0.8238095238095238,0.7380952380952381,molWeight,molVolume,molLogP,molArea,nof_negCharge
66,0.8190476190476189,0.5952380952380952,molWeight,molVolume,molLogP,molArea,a_heavy
67,0.7666666666666667,0.6809523809523811,molWeight,molVolume,molLogP,molArea,C_R2
69,0.7714285714285715,0.6761904761904762,molWeight,molVolume,molLogP,molArea,C_R0
71,0.7666666666666667,0.7666666666666667,molWeight,molVolume,molLogP,molArea,posCharge/Volume
72,0.7571428571428571,0.6809523809523811,molWeight,molVolume,molLogP,molArea,negCharge/Volume
79,0.7619047619047619,0.5571428571428572,molWeight,molVolume,molLogP,molArea,nof_COOH
81,0.7904761904761904,0.7047619047619047,molWeight,molVolume,molLogP,molArea,nof_acetyl
86,0.7619047619047619,0.7047619047619047,molWeight,molVolume,molLogP,PSA/Area,molCharge_total
88,0.7904761904761904,0.6190476190476191,molWeight,molVolume,molLogP,PSA/Area,Complexity
100,0.7571428571428572,0.6761904761904762,molWeight,molVolume,molLogP,PSA/Area,nof_PO4
101,0.7619047619047619,0.7095238095238096,molWeight,molVolume,molLogP,PSA/Area,nof_SO3H
103,0.7619047619047619,0.6476190476190475,molWeight,molVolume,molLogP,PSA/Area,nof_NH2
107,0.7666666666666667,0.7333333333333333,molWeight,molVolume,molLogP,nof_Atoms,nof_Chirals
121,0.7666666666666667,0.6761904761904761,molWeight,molVolume,molLogP,nof_Atoms,negCharge/Volume
125,0.7666666666666667,0.6238095238095238,molWeight,molVolume,molLogP,nof_Atoms,nof_SO3H
