,Random Forest HOO Accuracy,Decision Tree HOO Accuracy,Feature  1,Feature  2,Feature  3,Feature  4
29,0.8523809523809524,0.7714285714285714,molWeight,molVolume,molLogS,molPSA
88,0.8523809523809524,0.7428571428571429,molWeight,molVolume,molArea,nof_HBD
102,0.8523809523809524,0.6809523809523811,molWeight,molVolume,molArea,nof_Fragments
107,0.8523809523809524,0.7047619047619047,molWeight,molVolume,molArea,nof_COOH
177,0.8523809523809524,0.7952380952380953,molWeight,molVolume,nof_Chirals,nof_SH
180,0.8523809523809524,0.6761904761904762,molWeight,molVolume,nof_Chirals,nof_OH
209,0.8523809523809524,0.7047619047619047,molWeight,molVolume,nof_HBD,a_heavy
221,0.8523809523809524,0.7380952380952379,molWeight,molVolume,nof_HBD,nof_NH2
222,0.8571428571428571,0.7380952380952381,molWeight,molVolume,nof_HBD,nof_COOH
226,0.8523809523809524,0.6238095238095238,molWeight,molVolume,molCharge_total,Complexity
261,0.8523809523809524,0.6095238095238096,molWeight,molVolume,nof_Rings,nof_COOH
283,0.8523809523809524,0.5904761904761904,molWeight,molVolume,nof_posCharge,a_heavy
324,0.8523809523809524,0.6476190476190475,molWeight,molVolume,a_heavy,nof_SO3H
329,0.8571428571428571,0.7285714285714285,molWeight,molVolume,a_heavy,nof_acetyl
333,0.8571428571428571,0.5619047619047619,molWeight,molVolume,C_R2,posCharge/Volume
337,0.8523809523809524,0.6476190476190475,molWeight,molVolume,C_R2,nof_PO4
340,0.8523809523809524,0.7047619047619047,molWeight,molVolume,C_R2,nof_NH2
379,0.8571428571428571,0.6761904761904762,molWeight,molVolume,C_sp3,nof_acetyl
385,0.8523809523809524,0.6761904761904762,molWeight,molVolume,posCharge/Volume,nof_SH
413,0.8523809523809524,0.7714285714285714,molWeight,molVolume,nof_Fragments,nof_acetyl
415,0.8523809523809524,0.6761904761904762,molWeight,molVolume,nof_PO4,nof_SH
422,0.8523809523809524,0.6190476190476191,molWeight,molVolume,nof_SO3H,nof_COOH
425,0.8523809523809524,0.5619047619047619,molWeight,molVolume,nof_SH,nof_NH2
572,0.8523809523809524,0.6809523809523811,molWeight,molLogP,nof_Chirals,a_heavy
633,0.8523809523809524,0.6714285714285714,molWeight,molLogP,molCharge_total,nof_posCharge
886,0.8523809523809524,0.8,molWeight,molLogS,molArea,nof_Fragments
1034,0.8571428571428571,0.6428571428571429,molWeight,molLogS,nof_Rings,C_R1
1186,0.8523809523809524,0.5476190476190476,molWeight,molLogS,nof_RotB,nof_SH
1226,0.8571428571428571,0.7952380952380953,molWeight,molPSA,molArea,Complexity
1361,0.8571428571428573,0.7333333333333333,molWeight,molPSA,molCharge_total,Complexity
1376,0.8523809523809524,0.7047619047619047,molWeight,molPSA,molCharge_total,nof_NH2
1400,0.8571428571428571,0.7619047619047619,molWeight,molPSA,Complexity,nof_negCharge
1411,0.8761904761904763,0.8190476190476189,molWeight,molPSA,Complexity,nof_SO3H
1445,0.8523809523809524,0.7380952380952381,molWeight,molPSA,nof_negCharge,nof_SH
1447,0.8571428571428573,0.6476190476190475,molWeight,molPSA,nof_negCharge,nof_COOH
1531,0.8523809523809524,0.7,molWeight,molPSA,negCharge/Volume,nof_COOH
1557,0.8571428571428571,0.7,molWeight,molPSA,nof_SO3H,nof_COOH
1574,0.8809523809523808,0.7142857142857143,molWeight,molArea,PSA/Area,molCharge_total
1609,0.8571428571428571,0.7428571428571428,molWeight,molArea,nof_Atoms,negCharge/Volume
1612,0.8809523809523808,0.7380952380952381,molWeight,molArea,nof_Atoms,nof_PO4
1624,0.880952380952381,0.6523809523809524,molWeight,molArea,nof_Chirals,nof_posCharge
1626,0.8523809523809524,0.7,molWeight,molArea,nof_Chirals,a_heavy
1631,0.8571428571428571,0.7,molWeight,molArea,nof_Chirals,posCharge/Volume
1632,0.9095238095238096,0.6428571428571429,molWeight,molArea,nof_Chirals,negCharge/Volume
1634,0.8571428571428571,0.7285714285714285,molWeight,molArea,nof_Chirals,nof_Fragments
1655,0.8523809523809524,0.6428571428571429,molWeight,molArea,nof_HBA,nof_RotB
1658,0.8523809523809524,0.7380952380952381,molWeight,molArea,nof_HBA,nof_SO3H
1685,0.8571428571428571,0.7095238095238096,molWeight,molArea,molCharge_total,nof_Rings
1695,0.8523809523809524,0.7619047619047619,molWeight,molArea,molCharge_total,negCharge/Volume
1699,0.8571428571428571,0.7285714285714285,molWeight,molArea,molCharge_total,nof_SO3H
1708,0.8523809523809524,0.7333333333333333,molWeight,molArea,nof_Rings,a_heavy
1717,0.8523809523809524,0.7047619047619047,molWeight,molArea,nof_Rings,nof_PO4
1718,0.8809523809523808,0.7,molWeight,molArea,nof_Rings,nof_SO3H
1724,0.8523809523809524,0.8285714285714285,molWeight,molArea,Complexity,nof_posCharge
1725,0.8523809523809524,0.8476190476190476,molWeight,molArea,Complexity,nof_negCharge
1727,0.8523809523809524,0.8238095238095239,molWeight,molArea,Complexity,C_R2
1729,0.8571428571428573,0.7952380952380952,molWeight,molArea,Complexity,C_R0
1732,0.8571428571428571,0.7380952380952379,molWeight,molArea,Complexity,negCharge/Volume
1736,0.8523809523809524,0.8190476190476191,molWeight,molArea,Complexity,nof_SO3H
1737,0.880952380952381,0.8523809523809524,molWeight,molArea,Complexity,nof_SH
1740,0.8571428571428573,0.7904761904761906,molWeight,molArea,Complexity,nof_OH
1747,0.8523809523809524,0.7666666666666667,molWeight,molArea,nof_posCharge,C_sp3
1751,0.8571428571428573,0.8285714285714286,molWeight,molArea,nof_posCharge,nof_Fragments
1775,0.8571428571428573,0.6476190476190475,molWeight,molArea,a_heavy,C_R2
1787,0.8571428571428573,0.7142857142857142,molWeight,molArea,a_heavy,nof_COOH
