,Random Forest HOO Accuracy,Decision Tree HOO Accuracy,Feature  1,Feature  2,Feature  3,Feature  4,Feature  5
37,0.8238095238095238,0.6428571428571429,molWeight,molVolume,molLogP,molPSA,Complexity
58,0.8238095238095239,0.6190476190476191,molWeight,molVolume,molLogP,molArea,nof_Chirals
63,0.8238095238095238,0.8,molWeight,molVolume,molLogP,molArea,Complexity
65,0.8238095238095238,0.7380952380952381,molWeight,molVolume,molLogP,molArea,nof_negCharge
66,0.8190476190476189,0.5952380952380952,molWeight,molVolume,molLogP,molArea,a_heavy
139,0.8285714285714285,0.5857142857142856,molWeight,molVolume,molLogP,nof_Chirals,C_R2
190,0.8285714285714285,0.6476190476190476,molWeight,molVolume,molLogP,nof_HBD,nof_PO4
202,0.8238095238095238,0.7095238095238096,molWeight,molVolume,molLogP,molCharge_total,C_R2
236,0.8238095238095238,0.6714285714285715,molWeight,molVolume,molLogP,Complexity,nof_posCharge
243,0.8238095238095239,0.6857142857142857,molWeight,molVolume,molLogP,Complexity,posCharge/Volume
252,0.8238095238095238,0.7666666666666667,molWeight,molVolume,molLogP,Complexity,nof_OH
276,0.8238095238095238,0.6476190476190475,molWeight,molVolume,molLogP,nof_negCharge,posCharge/Volume
278,0.8238095238095239,0.6190476190476191,molWeight,molVolume,molLogP,nof_negCharge,nof_RotB
280,0.8238095238095238,0.6476190476190476,molWeight,molVolume,molLogP,nof_negCharge,nof_PO4
296,0.8285714285714285,0.6142857142857143,molWeight,molVolume,molLogP,a_heavy,nof_SO3H
305,0.8238095238095239,0.7095238095238096,molWeight,molVolume,molLogP,C_R2,posCharge/Volume
374,0.8238095238095239,0.5,molWeight,molVolume,molLogP,nof_RotB,nof_SH
407,0.8238095238095238,0.7619047619047619,molWeight,molVolume,molLogS,molPSA,molArea
411,0.8238095238095238,0.7619047619047619,molWeight,molVolume,molLogS,molPSA,nof_HBA
412,0.8238095238095239,0.6571428571428571,molWeight,molVolume,molLogS,molPSA,nof_HBD
424,0.8428571428571429,0.7333333333333333,molWeight,molVolume,molLogS,molPSA,negCharge/Volume
432,0.8238095238095238,0.7380952380952379,molWeight,molVolume,molLogS,molPSA,nof_OH
435,0.8571428571428571,0.5904761904761904,molWeight,molVolume,molLogS,molArea,nof_Atoms
437,0.880952380952381,0.6380952380952379,molWeight,molVolume,molLogS,molArea,nof_HBA
440,0.8285714285714285,0.6761904761904762,molWeight,molVolume,molLogS,molArea,nof_Rings
441,0.8571428571428573,0.7238095238095238,molWeight,molVolume,molLogS,molArea,Complexity
