,Random Forest HOO Accuracy,Decision Tree HOO Accuracy,Feature  1,Feature  2,Feature  3,Feature  4,Feature  5
107,0.7380952380952381,0.8285714285714285,molWeight,molVolume,molLogP,nof_Atoms,nof_HBA
156,0.7857142857142858,0.8285714285714285,molWeight,molVolume,molLogP,nof_HBA,Complexity
964,0.7904761904761904,0.8523809523809524,molWeight,molVolume,molPSA,Complexity,nof_posCharge
1174,0.8238095238095239,0.8285714285714286,molWeight,molVolume,molArea,nof_Atoms,negCharge/Volume
1231,0.7857142857142858,0.8285714285714285,molWeight,molVolume,molArea,nof_HBD,Complexity
1292,0.8,0.8523809523809524,molWeight,molVolume,molArea,Complexity,C_R2
1293,0.8285714285714285,0.8476190476190476,molWeight,molVolume,molArea,Complexity,C_R1
1297,0.7952380952380953,0.8285714285714285,molWeight,molVolume,molArea,Complexity,negCharge/Volume
1301,0.8238095238095238,0.880952380952381,molWeight,molVolume,molArea,Complexity,nof_SO3H
1407,0.7619047619047619,0.8285714285714285,molWeight,molVolume,molArea,posCharge/Volume,nof_Fragments
1499,0.7047619047619047,0.8476190476190476,molWeight,molVolume,PSA/Area,nof_Chirals,nof_Fragments
1645,0.7666666666666666,0.8285714285714285,molWeight,molVolume,PSA/Area,a_heavy,negCharge/Volume
1923,0.7666666666666667,0.8285714285714286,molWeight,molVolume,nof_Atoms,a_heavy,nof_Fragments
2023,0.8238095238095238,0.8285714285714285,molWeight,molVolume,nof_Atoms,nof_SO3H,nof_COOH
2364,0.7904761904761906,0.8285714285714286,molWeight,molVolume,nof_HBA,Complexity,nof_COOH
2920,0.8,0.8571428571428573,molWeight,molVolume,nof_Rings,Complexity,nof_posCharge
3068,0.7952380952380953,0.8285714285714286,molWeight,molVolume,nof_Rings,nof_Fragments,nof_OH
3174,0.7619047619047619,0.8285714285714285,molWeight,molVolume,Complexity,C_R0,nof_NH2
3210,0.7,0.8285714285714285,molWeight,molVolume,Complexity,nof_RotB,nof_SO3H
3230,0.8,0.8285714285714285,molWeight,molVolume,Complexity,nof_SO3H,nof_NH2
3610,0.7380952380952381,0.8285714285714285,molWeight,molVolume,C_R2,C_R1,nof_Fragments
3616,0.6761904761904762,0.8571428571428571,molWeight,molVolume,C_R2,C_R1,nof_OH
3871,0.7047619047619047,0.8761904761904763,molWeight,molVolume,C_sp3,nof_Fragments,nof_COOH
4622,0.8190476190476191,0.8523809523809524,molWeight,molLogP,molPSA,Complexity,C_R1
4842,0.7380952380952381,0.8285714285714285,molWeight,molLogP,molArea,nof_Chirals,Complexity
5059,0.7619047619047618,0.8285714285714286,molWeight,molLogP,molArea,posCharge/Volume,negCharge/Volume
5067,0.8238095238095238,0.8285714285714285,molWeight,molLogP,molArea,posCharge/Volume,nof_OH
5452,0.7619047619047619,0.8285714285714286,molWeight,molLogP,nof_Atoms,nof_HBA,nof_PO4
5984,0.7714285714285714,0.8476190476190476,molWeight,molLogP,nof_HBA,nof_Rings,Complexity
6228,0.7,0.8285714285714285,molWeight,molLogP,nof_HBD,Complexity,nof_COOH
6410,0.8523809523809524,0.8285714285714285,molWeight,molLogP,molCharge_total,Complexity,posCharge/Volume
6580,0.7666666666666667,0.8571428571428571,molWeight,molLogP,nof_Rings,Complexity,C_sp3
7772,0.7904761904761904,0.8857142857142858,molWeight,molLogS,molPSA,nof_Atoms,nof_negCharge
7790,0.7333333333333333,0.8285714285714285,molWeight,molLogS,molPSA,nof_Chirals,nof_HBD
7815,0.7285714285714285,0.8285714285714285,molWeight,molLogS,molPSA,nof_HBA,Complexity
7823,0.7714285714285714,0.8285714285714285,molWeight,molLogS,molPSA,nof_HBA,posCharge/Volume
7895,0.8571428571428571,0.8571428571428571,molWeight,molLogS,molPSA,Complexity,nof_negCharge
7953,0.6523809523809524,0.8523809523809524,molWeight,molLogS,molPSA,a_heavy,nof_PO4
8222,0.8476190476190476,0.8285714285714285,molWeight,molLogS,molArea,Complexity,C_R2
8229,0.8523809523809524,0.8285714285714285,molWeight,molLogS,molArea,Complexity,nof_Fragments
8234,0.8142857142857143,0.880952380952381,molWeight,molLogS,molArea,Complexity,nof_COOH
8442,0.7047619047619047,0.8523809523809524,molWeight,molLogS,PSA/Area,nof_HBA,nof_negCharge
8445,0.7619047619047619,0.8285714285714285,molWeight,molLogS,PSA/Area,nof_HBA,C_R1
8510,0.7333333333333333,0.8523809523809524,molWeight,molLogS,PSA/Area,nof_Rings,nof_RotB
8522,0.7904761904761904,0.8285714285714285,molWeight,molLogS,PSA/Area,Complexity,C_R2
8604,0.7333333333333333,0.8571428571428571,molWeight,molLogS,PSA/Area,C_R1,nof_Fragments
8609,0.7857142857142857,0.8285714285714285,molWeight,molLogS,PSA/Area,C_R1,nof_COOH
8619,0.6428571428571429,0.8523809523809524,molWeight,molLogS,PSA/Area,C_R0,nof_SH
9405,0.8476190476190476,0.8285714285714285,molWeight,molLogS,nof_HBA,negCharge/Volume,nof_RotB
9856,0.7952380952380953,0.8285714285714285,molWeight,molLogS,nof_Rings,Complexity,C_sp3
10021,0.7428571428571429,0.8523809523809524,molWeight,molLogS,Complexity,nof_posCharge,nof_negCharge
10038,0.8285714285714285,0.8523809523809524,molWeight,molLogS,Complexity,nof_negCharge,a_heavy
10067,0.7619047619047619,0.8285714285714285,molWeight,molLogS,Complexity,a_heavy,nof_OH
11014,0.7333333333333333,0.8285714285714285,molWeight,molPSA,molArea,PSA/Area,nof_acetyl
11086,0.7619047619047619,0.8285714285714286,molWeight,molPSA,molArea,nof_HBD,Complexity
11152,0.8285714285714285,0.8285714285714285,molWeight,molPSA,molArea,Complexity,negCharge/Volume
11161,0.8238095238095238,0.8285714285714285,molWeight,molPSA,molArea,Complexity,nof_acetyl
11281,0.7047619047619047,0.8285714285714285,molWeight,molPSA,molArea,nof_RotB,nof_SO3H
11633,0.7380952380952379,0.8523809523809524,molWeight,molPSA,nof_Atoms,nof_Chirals,nof_SH
11652,0.6857142857142857,0.8571428571428573,molWeight,molPSA,nof_Atoms,nof_HBA,nof_Fragments
11693,0.7380952380952381,0.8857142857142858,molWeight,molPSA,nof_Atoms,molCharge_total,nof_Fragments
11747,0.8142857142857143,0.8285714285714285,molWeight,molPSA,nof_Atoms,nof_posCharge,nof_Fragments
11898,0.7380952380952379,0.8857142857142858,molWeight,molPSA,nof_Chirals,nof_HBA,C_R2
11915,0.6809523809523811,0.8523809523809524,molWeight,molPSA,nof_Chirals,nof_HBD,Complexity
11975,0.8285714285714285,0.8285714285714285,molWeight,molPSA,nof_Chirals,Complexity,a_heavy
11979,0.7047619047619047,0.8571428571428571,molWeight,molPSA,nof_Chirals,Complexity,C_sp3
12160,0.5857142857142857,0.8285714285714285,molWeight,molPSA,nof_HBA,nof_HBD,nof_SH
12171,0.7571428571428571,0.8285714285714285,molWeight,molPSA,nof_HBA,molCharge_total,C_R1
12208,0.8,0.8571428571428573,molWeight,molPSA,nof_HBA,Complexity,C_R1
12210,0.7666666666666667,0.8523809523809524,molWeight,molPSA,nof_HBA,Complexity,C_sp3
12216,0.8523809523809524,0.8523809523809524,molWeight,molPSA,nof_HBA,Complexity,nof_SO3H
12220,0.7714285714285715,0.8285714285714285,molWeight,molPSA,nof_HBA,Complexity,nof_OH
12231,0.7142857142857143,0.8476190476190476,molWeight,molPSA,nof_HBA,nof_posCharge,nof_Fragments
12234,0.7047619047619047,0.8285714285714285,molWeight,molPSA,nof_HBA,nof_posCharge,nof_SH
12247,0.8238095238095238,0.8571428571428573,molWeight,molPSA,nof_HBA,nof_negCharge,nof_Fragments
12251,0.8,0.8285714285714285,molWeight,molPSA,nof_HBA,nof_negCharge,nof_NH2
12359,0.7666666666666667,0.8571428571428571,molWeight,molPSA,nof_HBA,nof_PO4,nof_acetyl
12376,0.8238095238095239,0.8285714285714285,molWeight,molPSA,nof_HBD,molCharge_total,Complexity
12619,0.7047619047619047,0.8571428571428571,molWeight,molPSA,molCharge_total,Complexity,nof_COOH
12776,0.7333333333333333,0.8285714285714285,molWeight,molPSA,nof_Rings,Complexity,nof_negCharge
12946,0.8190476190476191,0.8285714285714285,molWeight,molPSA,Complexity,nof_posCharge,nof_negCharge
12947,0.7904761904761904,0.8285714285714285,molWeight,molPSA,Complexity,nof_posCharge,a_heavy
12962,0.6714285714285714,0.8285714285714286,molWeight,molPSA,Complexity,nof_posCharge,nof_acetyl
12965,0.8190476190476191,0.8285714285714285,molWeight,molPSA,Complexity,nof_negCharge,C_R1
12967,0.6523809523809524,0.8285714285714285,molWeight,molPSA,Complexity,nof_negCharge,C_sp3
12987,0.8857142857142858,0.8476190476190476,molWeight,molPSA,Complexity,a_heavy,nof_PO4
12995,0.7333333333333333,0.8285714285714285,molWeight,molPSA,Complexity,C_R2,C_R0
13005,0.8857142857142858,0.8285714285714285,molWeight,molPSA,Complexity,C_R2,nof_COOH
13011,0.7666666666666667,0.8285714285714285,molWeight,molPSA,Complexity,C_R1,negCharge/Volume
13036,0.7380952380952381,0.8285714285714285,molWeight,molPSA,Complexity,C_sp3,nof_Fragments
13052,0.7619047619047619,0.8285714285714286,molWeight,molPSA,Complexity,posCharge/Volume,nof_OH
13334,0.7714285714285715,0.8571428571428571,molWeight,molPSA,nof_negCharge,nof_PO4,nof_SO3H
13941,0.8476190476190476,0.8285714285714285,molWeight,molArea,PSA/Area,nof_Chirals,molCharge_total
13994,0.7666666666666667,0.8285714285714286,molWeight,molArea,PSA/Area,nof_HBD,posCharge/Volume
14074,0.7666666666666667,0.8285714285714286,molWeight,molArea,PSA/Area,nof_posCharge,nof_SH
14080,0.7333333333333333,0.8285714285714285,molWeight,molArea,PSA/Area,nof_negCharge,C_R2
14086,0.7333333333333333,0.8285714285714285,molWeight,molArea,PSA/Area,nof_negCharge,nof_RotB
14119,0.7380952380952379,0.8476190476190476,molWeight,molArea,PSA/Area,C_R2,nof_SH
14133,0.7952380952380953,0.8523809523809524,molWeight,molArea,PSA/Area,C_R1,nof_NH2
14235,0.7904761904761904,0.8476190476190476,molWeight,molArea,nof_Atoms,nof_Chirals,nof_COOH
14241,0.7952380952380953,0.8857142857142858,molWeight,molArea,nof_Atoms,nof_HBA,Complexity
