,Random Forest HOO Accuracy,Decision Tree HOO Accuracy,Feature  1,Feature  2,Feature  3,Feature  4,Feature  5
475,0.8,0.8238095238095238,molWeight,molVolume,molLogS,PSA/Area,negCharge/Volume
864,0.7619047619047621,0.8857142857142858,molWeight,molVolume,molPSA,nof_Chirals,Complexity
963,0.7666666666666667,0.8190476190476191,molWeight,molVolume,molPSA,nof_Rings,nof_OH
976,0.7666666666666667,0.8238095238095238,molWeight,molVolume,molPSA,Complexity,nof_PO4
1011,0.8238095238095238,0.8523809523809524,molWeight,molVolume,molPSA,nof_negCharge,nof_SH
1140,0.7666666666666667,0.8523809523809524,molWeight,molVolume,molArea,PSA/Area,molCharge_total
1211,0.8190476190476189,0.8142857142857143,molWeight,molVolume,molArea,nof_HBA,Complexity
1232,0.7666666666666667,0.8571428571428573,molWeight,molVolume,molArea,nof_HBD,Complexity
1235,0.8571428571428573,0.8285714285714285,molWeight,molVolume,molArea,nof_HBD,a_heavy
1252,0.7904761904761904,0.8809523809523808,molWeight,molVolume,molArea,molCharge_total,Complexity
1290,0.7904761904761904,0.9095238095238096,molWeight,molVolume,molArea,Complexity,nof_posCharge
1297,0.8,0.8857142857142858,molWeight,molVolume,molArea,Complexity,posCharge/Volume
1298,0.8285714285714285,0.8476190476190476,molWeight,molVolume,molArea,Complexity,negCharge/Volume
1299,0.8142857142857143,0.880952380952381,molWeight,molVolume,molArea,Complexity,nof_RotB
1302,0.8190476190476191,0.8285714285714285,molWeight,molVolume,molArea,Complexity,nof_SO3H
1374,0.8,0.8238095238095239,molWeight,molVolume,molArea,C_R1,nof_RotB
1379,0.8523809523809524,0.8142857142857143,molWeight,molVolume,molArea,C_R1,nof_NH2
1480,0.7380952380952381,0.8190476190476191,molWeight,molVolume,PSA/Area,nof_Atoms,nof_SH
1488,0.7095238095238094,0.8190476190476191,molWeight,molVolume,PSA/Area,nof_Chirals,nof_Rings
1498,0.7380952380952381,0.8428571428571429,molWeight,molVolume,PSA/Area,nof_Chirals,negCharge/Volume
1519,0.7666666666666667,0.8285714285714286,molWeight,molVolume,PSA/Area,nof_HBA,posCharge/Volume
1605,0.7380952380952381,0.8285714285714286,molWeight,molVolume,PSA/Area,Complexity,nof_COOH
1609,0.7571428571428571,0.8190476190476189,molWeight,molVolume,PSA/Area,nof_posCharge,a_heavy
1616,0.6809523809523811,0.8285714285714285,molWeight,molVolume,PSA/Area,nof_posCharge,nof_RotB
1622,0.7428571428571429,0.8238095238095239,molWeight,molVolume,PSA/Area,nof_posCharge,nof_COOH
1718,0.7047619047619047,0.8238095238095238,molWeight,molVolume,PSA/Area,negCharge/Volume,nof_PO4
1734,0.7047619047619047,0.8238095238095239,molWeight,molVolume,PSA/Area,nof_Fragments,nof_SO3H
2177,0.6095238095238095,0.8190476190476191,molWeight,molVolume,nof_Chirals,a_heavy,nof_Fragments
2360,0.8238095238095238,0.8571428571428571,molWeight,molVolume,nof_HBA,Complexity,nof_Fragments
2458,0.8,0.8190476190476191,molWeight,molVolume,nof_HBA,C_sp3,nof_Fragments
2492,0.7952380952380953,0.8190476190476189,molWeight,molVolume,nof_HBA,nof_RotB,nof_acetyl
2760,0.8285714285714285,0.8285714285714285,molWeight,molVolume,molCharge_total,Complexity,nof_Fragments
2762,0.7238095238095238,0.8238095238095238,molWeight,molVolume,molCharge_total,Complexity,nof_SO3H
2922,0.7571428571428571,0.8285714285714286,molWeight,molVolume,nof_Rings,Complexity,nof_negCharge
2933,0.8190476190476191,0.8238095238095238,molWeight,molVolume,nof_Rings,Complexity,nof_SO3H
3136,0.7904761904761906,0.8571428571428573,molWeight,molVolume,Complexity,a_heavy,nof_NH2
3139,0.8,0.8238095238095238,molWeight,molVolume,Complexity,a_heavy,nof_acetyl
3143,0.7714285714285714,0.8238095238095238,molWeight,molVolume,Complexity,C_R2,posCharge/Volume
3155,0.7238095238095239,0.8571428571428571,molWeight,molVolume,Complexity,C_R1,C_sp3
3160,0.8285714285714285,0.8238095238095238,molWeight,molVolume,Complexity,C_R1,nof_PO4
3168,0.7952380952380953,0.8285714285714285,molWeight,molVolume,Complexity,C_R0,posCharge/Volume
3180,0.8190476190476189,0.8190476190476191,molWeight,molVolume,Complexity,C_sp3,negCharge/Volume
3195,0.8523809523809524,0.8523809523809524,molWeight,molVolume,Complexity,posCharge/Volume,nof_SH
3212,0.7380952380952379,0.8523809523809524,molWeight,molVolume,Complexity,nof_RotB,nof_SH
3219,0.7714285714285715,0.8285714285714285,molWeight,molVolume,Complexity,nof_Fragments,nof_SH
3226,0.8285714285714285,0.8190476190476191,molWeight,molVolume,Complexity,nof_PO4,nof_NH2
3817,0.7333333333333333,0.8285714285714285,molWeight,molVolume,C_R0,nof_Fragments,nof_COOH
4065,0.7380952380952379,0.8238095238095238,molWeight,molLogP,molLogS,molPSA,nof_HBA
4127,0.7095238095238096,0.8238095238095238,molWeight,molLogP,molLogS,PSA/Area,C_sp3
4949,0.7952380952380953,0.8523809523809524,molWeight,molLogP,molArea,Complexity,C_R0
4954,0.8238095238095238,0.8238095238095239,molWeight,molLogP,molArea,Complexity,nof_Fragments
