,Random Forest HOO Accuracy,Decision Tree HOO Accuracy,Feature  1,Feature  2,Feature  3
2,0.7647058823529411,0.7058823529411765,molWeight,molVolume,molPSA
3,0.8235294117647058,0.7058823529411765,molWeight,molVolume,molArea
5,0.7941176470588235,0.7352941176470589,molWeight,molVolume,nof_Atoms
6,0.7941176470588235,0.7058823529411765,molWeight,molVolume,nof_Chirals
8,0.7941176470588235,0.7941176470588235,molWeight,molVolume,nof_HBD
11,0.7941176470588235,0.7941176470588235,molWeight,molVolume,Complexity
16,0.7647058823529411,0.7352941176470589,molWeight,molVolume,C_R1
20,0.7941176470588235,0.7058823529411765,molWeight,molVolume,negCharge/Volume
22,0.8235294117647058,0.7058823529411765,molWeight,molVolume,nof_Fragments
31,0.7058823529411765,0.7058823529411765,molWeight,molLogP,molPSA
32,0.7352941176470589,0.7647058823529411,molWeight,molLogP,molArea
34,0.7647058823529411,0.7647058823529411,molWeight,molLogP,nof_Atoms
35,0.7058823529411765,0.7058823529411765,molWeight,molLogP,nof_Chirals
36,0.7058823529411765,0.7352941176470589,molWeight,molLogP,nof_HBA
37,0.6764705882352942,0.7941176470588235,molWeight,molLogP,nof_HBD
38,0.7352941176470589,0.7352941176470589,molWeight,molLogP,molCharge_total
39,0.7647058823529411,0.7058823529411765,molWeight,molLogP,nof_Rings
40,0.8235294117647058,0.7647058823529411,molWeight,molLogP,Complexity
41,0.7647058823529411,0.7058823529411765,molWeight,molLogP,nof_posCharge
42,0.8235294117647058,0.7352941176470589,molWeight,molLogP,nof_negCharge
43,0.7352941176470589,0.7058823529411765,molWeight,molLogP,a_heavy
44,0.7941176470588235,0.7352941176470589,molWeight,molLogP,C_R2
45,0.7058823529411765,0.7058823529411765,molWeight,molLogP,C_R1
47,0.7058823529411765,0.7058823529411765,molWeight,molLogP,C_sp3
48,0.7941176470588235,0.7352941176470589,molWeight,molLogP,posCharge/Volume
50,0.7647058823529411,0.7352941176470589,molWeight,molLogP,nof_RotB
51,0.7352941176470589,0.7647058823529411,molWeight,molLogP,nof_Fragments
52,0.7647058823529411,0.7352941176470589,molWeight,molLogP,nof_PO4
53,0.7647058823529411,0.7058823529411765,molWeight,molLogP,nof_SO3H
54,0.7647058823529411,0.7058823529411765,molWeight,molLogP,nof_SH
56,0.8823529411764706,0.7058823529411765,molWeight,molLogP,nof_COOH
57,0.7647058823529411,0.7352941176470589,molWeight,molLogP,nof_OH
59,0.7647058823529411,0.7058823529411765,molWeight,molLogS,molPSA
61,0.7058823529411765,0.7058823529411765,molWeight,molLogS,PSA/Area
62,0.7352941176470589,0.7058823529411765,molWeight,molLogS,nof_Atoms
64,0.7058823529411765,0.7058823529411765,molWeight,molLogS,nof_HBA
68,0.7647058823529411,0.7941176470588235,molWeight,molLogS,Complexity
79,0.8235294117647058,0.7058823529411765,molWeight,molLogS,nof_Fragments
87,0.7058823529411765,0.7058823529411765,molWeight,molPSA,molArea
89,0.7647058823529411,0.7058823529411765,molWeight,molPSA,nof_Atoms
91,0.7352941176470589,0.7941176470588235,molWeight,molPSA,nof_HBA
93,0.7941176470588235,0.7058823529411765,molWeight,molPSA,molCharge_total
94,0.7352941176470589,0.7058823529411765,molWeight,molPSA,nof_Rings
95,0.7941176470588235,0.7941176470588235,molWeight,molPSA,Complexity
96,0.6764705882352942,0.7058823529411765,molWeight,molPSA,nof_posCharge
97,0.8529411764705882,0.7352941176470589,molWeight,molPSA,nof_negCharge
98,0.7647058823529411,0.7352941176470589,molWeight,molPSA,a_heavy
99,0.7647058823529411,0.7058823529411765,molWeight,molPSA,C_R2
101,0.7352941176470589,0.7058823529411765,molWeight,molPSA,C_R0
103,0.7941176470588235,0.7058823529411765,molWeight,molPSA,posCharge/Volume
105,0.7941176470588235,0.7647058823529411,molWeight,molPSA,nof_RotB
110,0.7352941176470589,0.7058823529411765,molWeight,molPSA,nof_NH2
111,0.7941176470588235,0.7058823529411765,molWeight,molPSA,nof_COOH
112,0.7352941176470589,0.7058823529411765,molWeight,molPSA,nof_OH
113,0.7352941176470589,0.7058823529411765,molWeight,molPSA,nof_acetyl
115,0.7941176470588235,0.7352941176470589,molWeight,molArea,nof_Atoms
116,0.8235294117647058,0.7352941176470589,molWeight,molArea,nof_Chirals
118,0.7352941176470589,0.7647058823529411,molWeight,molArea,nof_HBD
119,0.7941176470588235,0.7058823529411765,molWeight,molArea,molCharge_total
120,0.7647058823529411,0.7058823529411765,molWeight,molArea,nof_Rings
121,0.8235294117647058,0.8529411764705882,molWeight,molArea,Complexity
122,0.7352941176470589,0.7058823529411765,molWeight,molArea,nof_posCharge
123,0.7647058823529411,0.7058823529411765,molWeight,molArea,nof_negCharge
124,0.7941176470588235,0.7058823529411765,molWeight,molArea,a_heavy
125,0.8235294117647058,0.7058823529411765,molWeight,molArea,C_R2
126,0.7941176470588235,0.7352941176470589,molWeight,molArea,C_R1
127,0.7352941176470589,0.7058823529411765,molWeight,molArea,C_R0
128,0.7647058823529411,0.7058823529411765,molWeight,molArea,C_sp3
129,0.8235294117647058,0.7058823529411765,molWeight,molArea,posCharge/Volume
130,0.8235294117647058,0.7352941176470589,molWeight,molArea,negCharge/Volume
131,0.7647058823529411,0.7058823529411765,molWeight,molArea,nof_RotB
132,0.8235294117647058,0.7352941176470589,molWeight,molArea,nof_Fragments
133,0.7941176470588235,0.7058823529411765,molWeight,molArea,nof_PO4
134,0.8235294117647058,0.7058823529411765,molWeight,molArea,nof_SO3H
135,0.8235294117647058,0.7058823529411765,molWeight,molArea,nof_SH
136,0.7647058823529411,0.7058823529411765,molWeight,molArea,nof_NH2
137,0.8235294117647058,0.7058823529411765,molWeight,molArea,nof_COOH
138,0.8235294117647058,0.7058823529411765,molWeight,molArea,nof_OH
139,0.7352941176470589,0.7058823529411765,molWeight,molArea,nof_acetyl
149,0.7647058823529411,0.7058823529411765,molWeight,PSA/Area,a_heavy
153,0.7352941176470589,0.7058823529411765,molWeight,PSA/Area,C_sp3
155,0.7352941176470589,0.7058823529411765,molWeight,PSA/Area,negCharge/Volume
162,0.8529411764705882,0.7058823529411765,molWeight,PSA/Area,nof_COOH
165,0.6764705882352942,0.7647058823529411,molWeight,nof_Atoms,nof_Chirals
166,0.7647058823529411,0.7352941176470589,molWeight,nof_Atoms,nof_HBA
167,0.7058823529411765,0.7058823529411765,molWeight,nof_Atoms,nof_HBD
168,0.7941176470588235,0.7647058823529411,molWeight,nof_Atoms,molCharge_total
169,0.8235294117647058,0.7941176470588235,molWeight,nof_Atoms,nof_Rings
170,0.7352941176470589,0.8235294117647058,molWeight,nof_Atoms,Complexity
171,0.7058823529411765,0.7647058823529411,molWeight,nof_Atoms,nof_posCharge
172,0.7941176470588235,0.7352941176470589,molWeight,nof_Atoms,nof_negCharge
173,0.8235294117647058,0.7352941176470589,molWeight,nof_Atoms,a_heavy
174,0.7352941176470589,0.7647058823529411,molWeight,nof_Atoms,C_R2
175,0.7352941176470589,0.7647058823529411,molWeight,nof_Atoms,C_R1
176,0.7352941176470589,0.7352941176470589,molWeight,nof_Atoms,C_R0
177,0.7058823529411765,0.7647058823529411,molWeight,nof_Atoms,C_sp3
178,0.7647058823529411,0.7647058823529411,molWeight,nof_Atoms,posCharge/Volume
179,0.7352941176470589,0.7647058823529411,molWeight,nof_Atoms,negCharge/Volume
180,0.7352941176470589,0.7647058823529411,molWeight,nof_Atoms,nof_RotB
181,0.6470588235294118,0.7647058823529411,molWeight,nof_Atoms,nof_Fragments
182,0.7647058823529411,0.7647058823529411,molWeight,nof_Atoms,nof_PO4
183,0.7647058823529411,0.7647058823529411,molWeight,nof_Atoms,nof_SO3H
184,0.7352941176470589,0.7647058823529411,molWeight,nof_Atoms,nof_SH
185,0.7352941176470589,0.7352941176470589,molWeight,nof_Atoms,nof_NH2
186,0.7941176470588235,0.7647058823529411,molWeight,nof_Atoms,nof_COOH
187,0.7352941176470589,0.7647058823529411,molWeight,nof_Atoms,nof_OH
188,0.7058823529411765,0.7647058823529411,molWeight,nof_Atoms,nof_acetyl
189,0.7941176470588235,0.7058823529411765,molWeight,nof_Chirals,nof_HBA
190,0.7352941176470589,0.7647058823529411,molWeight,nof_Chirals,nof_HBD
192,0.7352941176470589,0.7352941176470589,molWeight,nof_Chirals,nof_Rings
193,0.8529411764705882,0.7941176470588235,molWeight,nof_Chirals,Complexity
194,0.6176470588235294,0.7058823529411765,molWeight,nof_Chirals,nof_posCharge
196,0.7058823529411765,0.7058823529411765,molWeight,nof_Chirals,a_heavy
197,0.6764705882352942,0.7058823529411765,molWeight,nof_Chirals,C_R2
198,0.6470588235294118,0.7647058823529411,molWeight,nof_Chirals,C_R1
200,0.6764705882352942,0.7058823529411765,molWeight,nof_Chirals,C_sp3
201,0.7058823529411765,0.7058823529411765,molWeight,nof_Chirals,posCharge/Volume
202,0.7352941176470589,0.7647058823529411,molWeight,nof_Chirals,negCharge/Volume
203,0.7058823529411765,0.7058823529411765,molWeight,nof_Chirals,nof_RotB
204,0.7058823529411765,0.7647058823529411,molWeight,nof_Chirals,nof_Fragments
205,0.7058823529411765,0.7058823529411765,molWeight,nof_Chirals,nof_PO4
206,0.7058823529411765,0.7058823529411765,molWeight,nof_Chirals,nof_SO3H
207,0.7058823529411765,0.7058823529411765,molWeight,nof_Chirals,nof_SH
208,0.7352941176470589,0.7058823529411765,molWeight,nof_Chirals,nof_NH2
209,0.7352941176470589,0.7058823529411765,molWeight,nof_Chirals,nof_COOH
210,0.6764705882352942,0.7058823529411765,molWeight,nof_Chirals,nof_OH
211,0.6176470588235294,0.7058823529411765,molWeight,nof_Chirals,nof_acetyl
212,0.8235294117647058,0.7058823529411765,molWeight,nof_HBA,nof_HBD
213,0.8529411764705882,0.7058823529411765,molWeight,nof_HBA,molCharge_total
214,0.7647058823529411,0.7058823529411765,molWeight,nof_HBA,nof_Rings
215,0.8235294117647058,0.8823529411764706,molWeight,nof_HBA,Complexity
216,0.7058823529411765,0.7058823529411765,molWeight,nof_HBA,nof_posCharge
217,0.8529411764705882,0.7352941176470589,molWeight,nof_HBA,nof_negCharge
219,0.7352941176470589,0.7058823529411765,molWeight,nof_HBA,C_R2
