,Random Forest HOO Accuracy,Decision Tree HOO Accuracy,Feature  1,Feature  2,Feature  3,Feature  4
2,0.8190476190476191,0.7,molWeight,molVolume,molLogP,molArea
29,0.8523809523809524,0.7714285714285714,molWeight,molVolume,molLogS,molPSA
52,0.8285714285714285,0.6095238095238096,molWeight,molVolume,molLogS,nof_SH
63,0.8190476190476191,0.5238095238095238,molWeight,molVolume,molPSA,molCharge_total
66,0.8238095238095238,0.7333333333333333,molWeight,molVolume,molPSA,nof_posCharge
69,0.8285714285714285,0.7285714285714285,molWeight,molVolume,molPSA,C_R2
86,0.8238095238095239,0.7142857142857142,molWeight,molVolume,molArea,nof_Chirals
88,0.8523809523809524,0.7428571428571429,molWeight,molVolume,molArea,nof_HBD
99,0.8238095238095238,0.7571428571428571,molWeight,molVolume,molArea,posCharge/Volume
102,0.8523809523809524,0.6809523809523811,molWeight,molVolume,molArea,nof_Fragments
107,0.8523809523809524,0.7047619047619047,molWeight,molVolume,molArea,nof_COOH
135,0.8285714285714286,0.7428571428571429,molWeight,molVolume,nof_Atoms,nof_Chirals
148,0.8238095238095238,0.7714285714285715,molWeight,molVolume,nof_Atoms,posCharge/Volume
152,0.8190476190476189,0.6142857142857142,molWeight,molVolume,nof_Atoms,nof_PO4
155,0.8142857142857143,0.7428571428571429,molWeight,molVolume,nof_Atoms,nof_NH2
157,0.8190476190476191,0.6761904761904762,molWeight,molVolume,nof_Atoms,nof_OH
159,0.8238095238095238,0.6190476190476191,molWeight,molVolume,nof_Chirals,nof_HBA
161,0.8285714285714285,0.6761904761904762,molWeight,molVolume,nof_Chirals,molCharge_total
165,0.8476190476190476,0.6666666666666667,molWeight,molVolume,nof_Chirals,nof_negCharge
172,0.8238095238095238,0.7571428571428571,molWeight,molVolume,nof_Chirals,negCharge/Volume
175,0.8190476190476191,0.7333333333333333,molWeight,molVolume,nof_Chirals,nof_PO4
177,0.8523809523809524,0.7952380952380953,molWeight,molVolume,nof_Chirals,nof_SH
178,0.8238095238095238,0.6666666666666667,molWeight,molVolume,nof_Chirals,nof_NH2
179,0.8285714285714285,0.7,molWeight,molVolume,nof_Chirals,nof_COOH
180,0.8523809523809524,0.6761904761904762,molWeight,molVolume,nof_Chirals,nof_OH
