,Random Forest HOO Accuracy,Decision Tree HOO Accuracy,Feature  1,Feature  2,Feature  3,Feature  4
29,0.8523809523809524,0.7714285714285714,molWeight,molVolume,molLogS,molPSA
52,0.8285714285714285,0.6095238095238096,molWeight,molVolume,molLogS,nof_SH
69,0.8285714285714285,0.7285714285714285,molWeight,molVolume,molPSA,C_R2
88,0.8523809523809524,0.7428571428571429,molWeight,molVolume,molArea,nof_HBD
102,0.8523809523809524,0.6809523809523811,molWeight,molVolume,molArea,nof_Fragments
107,0.8523809523809524,0.7047619047619047,molWeight,molVolume,molArea,nof_COOH
135,0.8285714285714286,0.7428571428571429,molWeight,molVolume,nof_Atoms,nof_Chirals
161,0.8285714285714285,0.6761904761904762,molWeight,molVolume,nof_Chirals,molCharge_total
165,0.8476190476190476,0.6666666666666667,molWeight,molVolume,nof_Chirals,nof_negCharge
177,0.8523809523809524,0.7952380952380953,molWeight,molVolume,nof_Chirals,nof_SH
179,0.8285714285714285,0.7,molWeight,molVolume,nof_Chirals,nof_COOH
180,0.8523809523809524,0.6761904761904762,molWeight,molVolume,nof_Chirals,nof_OH
186,0.8476190476190476,0.6666666666666667,molWeight,molVolume,nof_HBA,nof_posCharge
209,0.8523809523809524,0.7047619047619047,molWeight,molVolume,nof_HBD,a_heavy
210,0.8285714285714286,0.6476190476190475,molWeight,molVolume,nof_HBD,C_R2
221,0.8523809523809524,0.7380952380952379,molWeight,molVolume,nof_HBD,nof_NH2
222,0.8571428571428571,0.7380952380952381,molWeight,molVolume,nof_HBD,nof_COOH
226,0.8523809523809524,0.6238095238095238,molWeight,molVolume,molCharge_total,Complexity
238,0.8285714285714286,0.7047619047619047,molWeight,molVolume,molCharge_total,nof_PO4
261,0.8523809523809524,0.6095238095238096,molWeight,molVolume,nof_Rings,nof_COOH
268,0.8285714285714285,0.7619047619047621,molWeight,molVolume,Complexity,C_R1
283,0.8523809523809524,0.5904761904761904,molWeight,molVolume,nof_posCharge,a_heavy
284,0.8285714285714286,0.6809523809523811,molWeight,molVolume,nof_posCharge,C_R2
297,0.8285714285714285,0.6761904761904762,molWeight,molVolume,nof_posCharge,nof_OH
305,0.8476190476190476,0.5904761904761904,molWeight,molVolume,nof_negCharge,negCharge/Volume
312,0.8285714285714285,0.5666666666666667,molWeight,molVolume,nof_negCharge,nof_COOH
324,0.8523809523809524,0.6476190476190475,molWeight,molVolume,a_heavy,nof_SO3H
329,0.8571428571428571,0.7285714285714285,molWeight,molVolume,a_heavy,nof_acetyl
333,0.8571428571428571,0.5619047619047619,molWeight,molVolume,C_R2,posCharge/Volume
334,0.8476190476190476,0.5571428571428572,molWeight,molVolume,C_R2,negCharge/Volume
337,0.8523809523809524,0.6476190476190475,molWeight,molVolume,C_R2,nof_PO4
340,0.8523809523809524,0.7047619047619047,molWeight,molVolume,C_R2,nof_NH2
362,0.8285714285714285,0.6809523809523811,molWeight,molVolume,C_R0,nof_PO4
379,0.8571428571428571,0.6761904761904762,molWeight,molVolume,C_sp3,nof_acetyl
383,0.8476190476190476,0.7333333333333333,molWeight,molVolume,posCharge/Volume,nof_PO4
384,0.8428571428571429,0.6666666666666667,molWeight,molVolume,posCharge/Volume,nof_SO3H
385,0.8523809523809524,0.6761904761904762,molWeight,molVolume,posCharge/Volume,nof_SH
386,0.8476190476190476,0.5761904761904761,molWeight,molVolume,posCharge/Volume,nof_NH2
404,0.8285714285714285,0.6238095238095238,molWeight,molVolume,nof_RotB,nof_COOH
413,0.8523809523809524,0.7714285714285714,molWeight,molVolume,nof_Fragments,nof_acetyl
415,0.8523809523809524,0.6761904761904762,molWeight,molVolume,nof_PO4,nof_SH
419,0.8285714285714285,0.6142857142857142,molWeight,molVolume,nof_PO4,nof_acetyl
422,0.8523809523809524,0.6190476190476191,molWeight,molVolume,nof_SO3H,nof_COOH
425,0.8523809523809524,0.5619047619047619,molWeight,molVolume,nof_SH,nof_NH2
513,0.8285714285714286,0.6523809523809524,molWeight,molLogP,molArea,nof_COOH
572,0.8523809523809524,0.6809523809523811,molWeight,molLogP,nof_Chirals,a_heavy
615,0.8285714285714285,0.6,molWeight,molLogP,nof_HBD,a_heavy
622,0.8285714285714285,0.6523809523809524,molWeight,molLogP,nof_HBD,nof_RotB
633,0.8523809523809524,0.6714285714285714,molWeight,molLogP,molCharge_total,nof_posCharge
640,0.8285714285714285,0.7095238095238096,molWeight,molLogP,molCharge_total,posCharge/Volume
880,0.8285714285714285,0.6761904761904762,molWeight,molLogS,molArea,C_R1
886,0.8523809523809524,0.8,molWeight,molLogS,molArea,nof_Fragments
889,0.8285714285714285,0.7047619047619047,molWeight,molLogS,molArea,nof_SH
974,0.8285714285714285,0.7952380952380953,molWeight,molLogS,nof_HBA,C_R1
1025,0.8428571428571429,0.5904761904761904,molWeight,molLogS,molCharge_total,nof_NH2
1034,0.8571428571428571,0.6428571428571429,molWeight,molLogS,nof_Rings,C_R1
1060,0.8285714285714285,0.7047619047619047,molWeight,molLogS,Complexity,nof_SO3H
1088,0.8285714285714285,0.5333333333333333,molWeight,molLogS,nof_negCharge,posCharge/Volume
1149,0.8285714285714285,0.6428571428571429,molWeight,molLogS,C_R0,nof_NH2
1186,0.8523809523809524,0.5476190476190476,molWeight,molLogS,nof_RotB,nof_SH
1226,0.8571428571428571,0.7952380952380953,molWeight,molPSA,molArea,Complexity
1228,0.8285714285714285,0.6190476190476191,molWeight,molPSA,molArea,nof_negCharge
1267,0.8285714285714285,0.6476190476190475,molWeight,molPSA,PSA/Area,nof_COOH
1332,0.8285714285714286,0.7619047619047619,molWeight,molPSA,nof_HBA,nof_PO4
1361,0.8571428571428573,0.7333333333333333,molWeight,molPSA,molCharge_total,Complexity
1376,0.8523809523809524,0.7047619047619047,molWeight,molPSA,molCharge_total,nof_NH2
1379,0.8285714285714285,0.7095238095238096,molWeight,molPSA,molCharge_total,nof_acetyl
1400,0.8571428571428571,0.7619047619047619,molWeight,molPSA,Complexity,nof_negCharge
1408,0.8285714285714285,0.7380952380952381,molWeight,molPSA,Complexity,nof_RotB
1411,0.8761904761904763,0.8190476190476189,molWeight,molPSA,Complexity,nof_SO3H
1443,0.8285714285714285,0.7333333333333333,molWeight,molPSA,nof_negCharge,nof_PO4
