,Random Forest HOO Accuracy,Decision Tree HOO Accuracy,Feature  1,Feature  2,Feature  3,Feature  4,Feature  5
964,0.7904761904761904,0.8523809523809524,molWeight,molVolume,molPSA,Complexity,nof_posCharge
1292,0.8,0.8523809523809524,molWeight,molVolume,molArea,Complexity,C_R2
1301,0.8238095238095238,0.880952380952381,molWeight,molVolume,molArea,Complexity,nof_SO3H
2920,0.8,0.8571428571428573,molWeight,molVolume,nof_Rings,Complexity,nof_posCharge
3616,0.6761904761904762,0.8571428571428571,molWeight,molVolume,C_R2,C_R1,nof_OH
3871,0.7047619047619047,0.8761904761904763,molWeight,molVolume,C_sp3,nof_Fragments,nof_COOH
4622,0.8190476190476191,0.8523809523809524,molWeight,molLogP,molPSA,Complexity,C_R1
6580,0.7666666666666667,0.8571428571428571,molWeight,molLogP,nof_Rings,Complexity,C_sp3
7772,0.7904761904761904,0.8857142857142858,molWeight,molLogS,molPSA,nof_Atoms,nof_negCharge
7895,0.8571428571428571,0.8571428571428571,molWeight,molLogS,molPSA,Complexity,nof_negCharge
7953,0.6523809523809524,0.8523809523809524,molWeight,molLogS,molPSA,a_heavy,nof_PO4
8234,0.8142857142857143,0.880952380952381,molWeight,molLogS,molArea,Complexity,nof_COOH
8442,0.7047619047619047,0.8523809523809524,molWeight,molLogS,PSA/Area,nof_HBA,nof_negCharge
8510,0.7333333333333333,0.8523809523809524,molWeight,molLogS,PSA/Area,nof_Rings,nof_RotB
8604,0.7333333333333333,0.8571428571428571,molWeight,molLogS,PSA/Area,C_R1,nof_Fragments
8619,0.6428571428571429,0.8523809523809524,molWeight,molLogS,PSA/Area,C_R0,nof_SH
10021,0.7428571428571429,0.8523809523809524,molWeight,molLogS,Complexity,nof_posCharge,nof_negCharge
10038,0.8285714285714285,0.8523809523809524,molWeight,molLogS,Complexity,nof_negCharge,a_heavy
11633,0.7380952380952379,0.8523809523809524,molWeight,molPSA,nof_Atoms,nof_Chirals,nof_SH
11652,0.6857142857142857,0.8571428571428573,molWeight,molPSA,nof_Atoms,nof_HBA,nof_Fragments
11693,0.7380952380952381,0.8857142857142858,molWeight,molPSA,nof_Atoms,molCharge_total,nof_Fragments
11898,0.7380952380952379,0.8857142857142858,molWeight,molPSA,nof_Chirals,nof_HBA,C_R2
11915,0.6809523809523811,0.8523809523809524,molWeight,molPSA,nof_Chirals,nof_HBD,Complexity
11979,0.7047619047619047,0.8571428571428571,molWeight,molPSA,nof_Chirals,Complexity,C_sp3
12208,0.8,0.8571428571428573,molWeight,molPSA,nof_HBA,Complexity,C_R1
12210,0.7666666666666667,0.8523809523809524,molWeight,molPSA,nof_HBA,Complexity,C_sp3
12216,0.8523809523809524,0.8523809523809524,molWeight,molPSA,nof_HBA,Complexity,nof_SO3H
12247,0.8238095238095238,0.8571428571428573,molWeight,molPSA,nof_HBA,nof_negCharge,nof_Fragments
12359,0.7666666666666667,0.8571428571428571,molWeight,molPSA,nof_HBA,nof_PO4,nof_acetyl
12619,0.7047619047619047,0.8571428571428571,molWeight,molPSA,molCharge_total,Complexity,nof_COOH
13334,0.7714285714285715,0.8571428571428571,molWeight,molPSA,nof_negCharge,nof_PO4,nof_SO3H
14133,0.7952380952380953,0.8523809523809524,molWeight,molArea,PSA/Area,C_R1,nof_NH2
14241,0.7952380952380953,0.8857142857142858,molWeight,molArea,nof_Atoms,nof_HBA,Complexity
14322,0.7999999999999999,0.8523809523809524,molWeight,molArea,nof_Atoms,Complexity,a_heavy
14335,0.8285714285714285,0.8571428571428573,molWeight,molArea,nof_Atoms,Complexity,nof_COOH
14366,0.8238095238095239,0.8523809523809524,molWeight,molArea,nof_Atoms,nof_negCharge,nof_SH
14494,0.8571428571428573,0.8571428571428571,molWeight,molArea,nof_Chirals,nof_HBA,Complexity
14574,0.8857142857142858,0.8571428571428571,molWeight,molArea,nof_Chirals,Complexity,nof_negCharge
14583,0.8571428571428571,0.9047619047619048,molWeight,molArea,nof_Chirals,Complexity,nof_Fragments
14785,0.7666666666666667,0.8523809523809524,molWeight,molArea,nof_HBA,nof_Rings,Complexity
14808,0.8238095238095238,0.8523809523809524,molWeight,molArea,nof_HBA,Complexity,C_R1
14821,0.8285714285714285,0.8857142857142858,molWeight,molArea,nof_HBA,Complexity,nof_acetyl
15015,0.7666666666666667,0.8857142857142858,molWeight,molArea,nof_HBD,Complexity,nof_negCharge
15029,0.8238095238095238,0.8523809523809524,molWeight,molArea,nof_HBD,Complexity,nof_COOH
15031,0.7952380952380953,0.8523809523809524,molWeight,molArea,nof_HBD,Complexity,nof_acetyl
15204,0.8523809523809524,0.8857142857142858,molWeight,molArea,molCharge_total,Complexity,nof_posCharge
15208,0.7523809523809525,0.8523809523809524,molWeight,molArea,molCharge_total,Complexity,C_R1
15216,0.7952380952380953,0.8571428571428571,molWeight,molArea,molCharge_total,Complexity,nof_SO3H
15376,0.8238095238095239,0.8523809523809524,molWeight,molArea,nof_Rings,Complexity,nof_negCharge
15381,0.7809523809523811,0.8523809523809524,molWeight,molArea,nof_Rings,Complexity,C_sp3
15386,0.7333333333333333,0.8571428571428571,molWeight,molArea,nof_Rings,Complexity,nof_PO4
