,Random Forest HOO Accuracy,Decision Tree HOO Accuracy,Feature  1,Feature  2,Feature  3
8,0.7941176470588235,0.7941176470588235,molWeight,molVolume,nof_HBD
11,0.7941176470588235,0.7941176470588235,molWeight,molVolume,Complexity
32,0.7352941176470589,0.7647058823529411,molWeight,molLogP,molArea
34,0.7647058823529411,0.7647058823529411,molWeight,molLogP,nof_Atoms
37,0.6764705882352942,0.7941176470588235,molWeight,molLogP,nof_HBD
40,0.8235294117647058,0.7647058823529411,molWeight,molLogP,Complexity
51,0.7352941176470589,0.7647058823529411,molWeight,molLogP,nof_Fragments
68,0.7647058823529411,0.7941176470588235,molWeight,molLogS,Complexity
91,0.7352941176470589,0.7941176470588235,molWeight,molPSA,nof_HBA
95,0.7941176470588235,0.7941176470588235,molWeight,molPSA,Complexity
105,0.7941176470588235,0.7647058823529411,molWeight,molPSA,nof_RotB
118,0.7352941176470589,0.7647058823529411,molWeight,molArea,nof_HBD
121,0.8235294117647058,0.8529411764705882,molWeight,molArea,Complexity
165,0.6764705882352942,0.7647058823529411,molWeight,nof_Atoms,nof_Chirals
168,0.7941176470588235,0.7647058823529411,molWeight,nof_Atoms,molCharge_total
169,0.8235294117647058,0.7941176470588235,molWeight,nof_Atoms,nof_Rings
170,0.7352941176470589,0.8235294117647058,molWeight,nof_Atoms,Complexity
171,0.7058823529411765,0.7647058823529411,molWeight,nof_Atoms,nof_posCharge
174,0.7352941176470589,0.7647058823529411,molWeight,nof_Atoms,C_R2
175,0.7352941176470589,0.7647058823529411,molWeight,nof_Atoms,C_R1
177,0.7058823529411765,0.7647058823529411,molWeight,nof_Atoms,C_sp3
178,0.7647058823529411,0.7647058823529411,molWeight,nof_Atoms,posCharge/Volume
179,0.7352941176470589,0.7647058823529411,molWeight,nof_Atoms,negCharge/Volume
180,0.7352941176470589,0.7647058823529411,molWeight,nof_Atoms,nof_RotB
181,0.6470588235294118,0.7647058823529411,molWeight,nof_Atoms,nof_Fragments
182,0.7647058823529411,0.7647058823529411,molWeight,nof_Atoms,nof_PO4
183,0.7647058823529411,0.7647058823529411,molWeight,nof_Atoms,nof_SO3H
184,0.7352941176470589,0.7647058823529411,molWeight,nof_Atoms,nof_SH
186,0.7941176470588235,0.7647058823529411,molWeight,nof_Atoms,nof_COOH
187,0.7352941176470589,0.7647058823529411,molWeight,nof_Atoms,nof_OH
188,0.7058823529411765,0.7647058823529411,molWeight,nof_Atoms,nof_acetyl
190,0.7352941176470589,0.7647058823529411,molWeight,nof_Chirals,nof_HBD
193,0.8529411764705882,0.7941176470588235,molWeight,nof_Chirals,Complexity
198,0.6470588235294118,0.7647058823529411,molWeight,nof_Chirals,C_R1
202,0.7352941176470589,0.7647058823529411,molWeight,nof_Chirals,negCharge/Volume
204,0.7058823529411765,0.7647058823529411,molWeight,nof_Chirals,nof_Fragments
215,0.8235294117647058,0.8823529411764706,molWeight,nof_HBA,Complexity
236,0.7941176470588235,0.8235294117647058,molWeight,nof_HBD,Complexity
237,0.7058823529411765,0.7647058823529411,molWeight,nof_HBD,nof_posCharge
239,0.7647058823529411,0.7647058823529411,molWeight,nof_HBD,a_heavy
243,0.7647058823529411,0.7647058823529411,molWeight,nof_HBD,C_sp3
248,0.7647058823529411,0.7647058823529411,molWeight,nof_HBD,nof_PO4
249,0.7352941176470589,0.7647058823529411,molWeight,nof_HBD,nof_SO3H
250,0.7352941176470589,0.7647058823529411,molWeight,nof_HBD,nof_SH
252,0.7647058823529411,0.7647058823529411,molWeight,nof_HBD,nof_COOH
253,0.7647058823529411,0.7647058823529411,molWeight,nof_HBD,nof_OH
254,0.6470588235294118,0.7647058823529411,molWeight,nof_HBD,nof_acetyl
256,0.8529411764705882,0.8235294117647058,molWeight,molCharge_total,Complexity
261,0.7647058823529411,0.7941176470588235,molWeight,molCharge_total,C_R1
267,0.7647058823529411,0.7647058823529411,molWeight,molCharge_total,nof_Fragments
275,0.8529411764705882,0.8235294117647058,molWeight,nof_Rings,Complexity
280,0.7647058823529411,0.7647058823529411,molWeight,nof_Rings,C_R1
284,0.7647058823529411,0.7647058823529411,molWeight,nof_Rings,negCharge/Volume
286,0.7941176470588235,0.7941176470588235,molWeight,nof_Rings,nof_Fragments
294,0.7647058823529411,0.8235294117647058,molWeight,Complexity,nof_posCharge
295,0.8823529411764706,0.8235294117647058,molWeight,Complexity,nof_negCharge
296,0.7941176470588235,0.7647058823529411,molWeight,Complexity,a_heavy
297,0.7941176470588235,0.7941176470588235,molWeight,Complexity,C_R2
298,0.7941176470588235,0.7941176470588235,molWeight,Complexity,C_R1
300,0.7352941176470589,0.7941176470588235,molWeight,Complexity,C_sp3
301,0.7647058823529411,0.7941176470588235,molWeight,Complexity,posCharge/Volume
302,0.7647058823529411,0.8235294117647058,molWeight,Complexity,negCharge/Volume
303,0.7941176470588235,0.8235294117647058,molWeight,Complexity,nof_RotB
304,0.7647058823529411,0.7941176470588235,molWeight,Complexity,nof_Fragments
305,0.8529411764705882,0.7941176470588235,molWeight,Complexity,nof_PO4
306,0.8235294117647058,0.7941176470588235,molWeight,Complexity,nof_SO3H
307,0.7647058823529411,0.8235294117647058,molWeight,Complexity,nof_SH
308,0.8235294117647058,0.7941176470588235,molWeight,Complexity,nof_NH2
309,0.8529411764705882,0.7941176470588235,molWeight,Complexity,nof_COOH
310,0.7941176470588235,0.7941176470588235,molWeight,Complexity,nof_OH
311,0.7058823529411765,0.7941176470588235,molWeight,Complexity,nof_acetyl
315,0.7058823529411765,0.7647058823529411,molWeight,nof_posCharge,C_R1
319,0.7352941176470589,0.7647058823529411,molWeight,nof_posCharge,negCharge/Volume
321,0.7058823529411765,0.7647058823529411,molWeight,nof_posCharge,nof_Fragments
331,0.7352941176470589,0.7941176470588235,molWeight,nof_negCharge,C_R1
337,0.7647058823529411,0.7647058823529411,molWeight,nof_negCharge,nof_Fragments
360,0.7058823529411765,0.7647058823529411,molWeight,C_R2,C_R1
364,0.7647058823529411,0.7647058823529411,molWeight,C_R2,negCharge/Volume
