,Random Forest HOO Accuracy,Decision Tree HOO Accuracy,Feature  1,Feature  2,Feature  3,Feature  4
7,0.6428571428571428,0.7142857142857143,molWeight,molVolume,molLogP,nof_HBD
10,0.7619047619047618,0.7666666666666667,molWeight,molVolume,molLogP,Complexity
16,0.6476190476190475,0.7095238095238094,molWeight,molVolume,molLogP,C_R0
19,0.7095238095238096,0.7095238095238094,molWeight,molVolume,molLogP,negCharge/Volume
29,0.8523809523809524,0.7714285714285714,molWeight,molVolume,molLogS,molPSA
31,0.7380952380952381,0.7095238095238096,molWeight,molVolume,molLogS,PSA/Area
57,0.7285714285714285,0.7047619047619047,molWeight,molVolume,molPSA,molArea
66,0.8238095238095238,0.7333333333333333,molWeight,molVolume,molPSA,nof_posCharge
69,0.8285714285714285,0.7285714285714285,molWeight,molVolume,molPSA,C_R2
70,0.7666666666666667,0.7333333333333333,molWeight,molVolume,molPSA,C_R1
73,0.7142857142857143,0.7380952380952381,molWeight,molVolume,molPSA,posCharge/Volume
75,0.7428571428571428,0.7095238095238096,molWeight,molVolume,molPSA,nof_RotB
76,0.7714285714285714,0.7095238095238096,molWeight,molVolume,molPSA,nof_Fragments
77,0.7428571428571429,0.7047619047619047,molWeight,molVolume,molPSA,nof_PO4
78,0.6666666666666667,0.7047619047619047,molWeight,molVolume,molPSA,nof_SO3H
80,0.7619047619047619,0.7714285714285715,molWeight,molVolume,molPSA,nof_NH2
83,0.7380952380952381,0.7047619047619047,molWeight,molVolume,molPSA,nof_acetyl
84,0.7666666666666667,0.7333333333333333,molWeight,molVolume,molArea,PSA/Area
85,0.6714285714285715,0.7095238095238096,molWeight,molVolume,molArea,nof_Atoms
86,0.8238095238095239,0.7142857142857142,molWeight,molVolume,molArea,nof_Chirals
87,0.8,0.7380952380952379,molWeight,molVolume,molArea,nof_HBA
88,0.8523809523809524,0.7428571428571429,molWeight,molVolume,molArea,nof_HBD
90,0.7047619047619047,0.7095238095238096,molWeight,molVolume,molArea,nof_Rings
91,0.7714285714285715,0.7904761904761904,molWeight,molVolume,molArea,Complexity
92,0.7333333333333332,0.7047619047619047,molWeight,molVolume,molArea,nof_posCharge
93,0.7619047619047619,0.7095238095238096,molWeight,molVolume,molArea,nof_negCharge
99,0.8238095238095238,0.7571428571428571,molWeight,molVolume,molArea,posCharge/Volume
100,0.7904761904761904,0.7380952380952379,molWeight,molVolume,molArea,negCharge/Volume
101,0.7904761904761906,0.7095238095238096,molWeight,molVolume,molArea,nof_RotB
104,0.7333333333333333,0.7285714285714285,molWeight,molVolume,molArea,nof_SO3H
105,0.7904761904761904,0.7095238095238096,molWeight,molVolume,molArea,nof_SH
107,0.8523809523809524,0.7047619047619047,molWeight,molVolume,molArea,nof_COOH
108,0.7666666666666667,0.7047619047619047,molWeight,molVolume,molArea,nof_OH
109,0.7619047619047619,0.7047619047619047,molWeight,molVolume,molArea,nof_acetyl
111,0.7,0.7952380952380953,molWeight,molVolume,PSA/Area,nof_Chirals
112,0.7904761904761904,0.7619047619047621,molWeight,molVolume,PSA/Area,nof_HBA
114,0.7714285714285715,0.7666666666666667,molWeight,molVolume,PSA/Area,molCharge_total
115,0.7666666666666667,0.7380952380952379,molWeight,molVolume,PSA/Area,nof_Rings
117,0.6666666666666667,0.7047619047619047,molWeight,molVolume,PSA/Area,nof_posCharge
118,0.6809523809523811,0.7285714285714285,molWeight,molVolume,PSA/Area,nof_negCharge
119,0.7619047619047619,0.7904761904761906,molWeight,molVolume,PSA/Area,a_heavy
120,0.7,0.7333333333333333,molWeight,molVolume,PSA/Area,C_R2
121,0.7095238095238096,0.7333333333333333,molWeight,molVolume,PSA/Area,C_R1
122,0.7666666666666667,0.7142857142857142,molWeight,molVolume,PSA/Area,C_R0
123,0.7333333333333333,0.7666666666666667,molWeight,molVolume,PSA/Area,C_sp3
124,0.7333333333333333,0.7333333333333333,molWeight,molVolume,PSA/Area,posCharge/Volume
125,0.6809523809523811,0.7380952380952381,molWeight,molVolume,PSA/Area,negCharge/Volume
126,0.7,0.7238095238095239,molWeight,molVolume,PSA/Area,nof_RotB
127,0.7333333333333333,0.8190476190476189,molWeight,molVolume,PSA/Area,nof_Fragments
128,0.7333333333333333,0.7380952380952381,molWeight,molVolume,PSA/Area,nof_PO4
129,0.7047619047619047,0.7047619047619047,molWeight,molVolume,PSA/Area,nof_SO3H
130,0.8,0.7666666666666667,molWeight,molVolume,PSA/Area,nof_SH
134,0.6380952380952382,0.7333333333333333,molWeight,molVolume,PSA/Area,nof_acetyl
135,0.8285714285714286,0.7428571428571429,molWeight,molVolume,nof_Atoms,nof_Chirals
136,0.7428571428571428,0.7047619047619047,molWeight,molVolume,nof_Atoms,nof_HBA
138,0.7428571428571429,0.7095238095238094,molWeight,molVolume,nof_Atoms,molCharge_total
140,0.7428571428571428,0.7619047619047619,molWeight,molVolume,nof_Atoms,Complexity
141,0.7619047619047619,0.8238095238095238,molWeight,molVolume,nof_Atoms,nof_posCharge
143,0.6428571428571429,0.7571428571428571,molWeight,molVolume,nof_Atoms,a_heavy
144,0.7952380952380953,0.7333333333333333,molWeight,molVolume,nof_Atoms,C_R2
145,0.8,0.7666666666666667,molWeight,molVolume,nof_Atoms,C_R1
148,0.8238095238095238,0.7714285714285715,molWeight,molVolume,nof_Atoms,posCharge/Volume
149,0.7904761904761906,0.7047619047619047,molWeight,molVolume,nof_Atoms,negCharge/Volume
150,0.7380952380952379,0.7619047619047619,molWeight,molVolume,nof_Atoms,nof_RotB
151,0.7619047619047621,0.7333333333333333,molWeight,molVolume,nof_Atoms,nof_Fragments
153,0.7428571428571429,0.7619047619047619,molWeight,molVolume,nof_Atoms,nof_SO3H
155,0.8142857142857143,0.7428571428571429,molWeight,molVolume,nof_Atoms,nof_NH2
156,0.7571428571428572,0.7047619047619047,molWeight,molVolume,nof_Atoms,nof_COOH
158,0.7666666666666667,0.7285714285714286,molWeight,molVolume,nof_Atoms,nof_acetyl
163,0.7619047619047619,0.8238095238095238,molWeight,molVolume,nof_Chirals,Complexity
167,0.7714285714285715,0.7952380952380953,molWeight,molVolume,nof_Chirals,C_R2
169,0.8,0.7619047619047619,molWeight,molVolume,nof_Chirals,C_R0
172,0.8238095238095238,0.7571428571428571,molWeight,molVolume,nof_Chirals,negCharge/Volume
175,0.8190476190476191,0.7333333333333333,molWeight,molVolume,nof_Chirals,nof_PO4
176,0.7666666666666667,0.7047619047619047,molWeight,molVolume,nof_Chirals,nof_SO3H
177,0.8523809523809524,0.7952380952380953,molWeight,molVolume,nof_Chirals,nof_SH
181,0.8,0.7047619047619047,molWeight,molVolume,nof_Chirals,nof_acetyl
183,0.7619047619047621,0.7428571428571429,molWeight,molVolume,nof_HBA,molCharge_total
184,0.7428571428571429,0.7095238095238096,molWeight,molVolume,nof_HBA,nof_Rings
185,0.7380952380952381,0.7952380952380953,molWeight,molVolume,nof_HBA,Complexity
188,0.6952380952380952,0.7047619047619047,molWeight,molVolume,nof_HBA,a_heavy
189,0.7380952380952381,0.7047619047619047,molWeight,molVolume,nof_HBA,C_R2
190,0.7285714285714285,0.7380952380952379,molWeight,molVolume,nof_HBA,C_R1
191,0.7333333333333333,0.7952380952380953,molWeight,molVolume,nof_HBA,C_R0
193,0.7,0.7666666666666667,molWeight,molVolume,nof_HBA,posCharge/Volume
194,0.7904761904761904,0.7047619047619047,molWeight,molVolume,nof_HBA,negCharge/Volume
200,0.7904761904761904,0.7333333333333333,molWeight,molVolume,nof_HBA,nof_NH2
202,0.8,0.7380952380952381,molWeight,molVolume,nof_HBA,nof_OH
