,Random Forest HOO Accuracy,Decision Tree HOO Accuracy,Feature  1,Feature  2,Feature  3,Feature  4
10,0.7619047619047618,0.7666666666666667,molWeight,molVolume,molLogP,Complexity
29,0.8523809523809524,0.7714285714285714,molWeight,molVolume,molLogS,molPSA
80,0.7619047619047619,0.7714285714285715,molWeight,molVolume,molPSA,nof_NH2
91,0.7714285714285715,0.7904761904761904,molWeight,molVolume,molArea,Complexity
99,0.8238095238095238,0.7571428571428571,molWeight,molVolume,molArea,posCharge/Volume
111,0.7,0.7952380952380953,molWeight,molVolume,PSA/Area,nof_Chirals
112,0.7904761904761904,0.7619047619047621,molWeight,molVolume,PSA/Area,nof_HBA
114,0.7714285714285715,0.7666666666666667,molWeight,molVolume,PSA/Area,molCharge_total
119,0.7619047619047619,0.7904761904761906,molWeight,molVolume,PSA/Area,a_heavy
123,0.7333333333333333,0.7666666666666667,molWeight,molVolume,PSA/Area,C_sp3
127,0.7333333333333333,0.8190476190476189,molWeight,molVolume,PSA/Area,nof_Fragments
130,0.8,0.7666666666666667,molWeight,molVolume,PSA/Area,nof_SH
140,0.7428571428571428,0.7619047619047619,molWeight,molVolume,nof_Atoms,Complexity
141,0.7619047619047619,0.8238095238095238,molWeight,molVolume,nof_Atoms,nof_posCharge
143,0.6428571428571429,0.7571428571428571,molWeight,molVolume,nof_Atoms,a_heavy
145,0.8,0.7666666666666667,molWeight,molVolume,nof_Atoms,C_R1
148,0.8238095238095238,0.7714285714285715,molWeight,molVolume,nof_Atoms,posCharge/Volume
150,0.7380952380952379,0.7619047619047619,molWeight,molVolume,nof_Atoms,nof_RotB
153,0.7428571428571429,0.7619047619047619,molWeight,molVolume,nof_Atoms,nof_SO3H
163,0.7619047619047619,0.8238095238095238,molWeight,molVolume,nof_Chirals,Complexity
167,0.7714285714285715,0.7952380952380953,molWeight,molVolume,nof_Chirals,C_R2
169,0.8,0.7619047619047619,molWeight,molVolume,nof_Chirals,C_R0
172,0.8238095238095238,0.7571428571428571,molWeight,molVolume,nof_Chirals,negCharge/Volume
177,0.8523809523809524,0.7952380952380953,molWeight,molVolume,nof_Chirals,nof_SH
185,0.7380952380952381,0.7952380952380953,molWeight,molVolume,nof_HBA,Complexity
191,0.7333333333333333,0.7952380952380953,molWeight,molVolume,nof_HBA,C_R0
193,0.7,0.7666666666666667,molWeight,molVolume,nof_HBA,posCharge/Volume
203,0.7952380952380953,0.8238095238095238,molWeight,molVolume,nof_HBA,nof_acetyl
204,0.8238095238095238,0.7666666666666667,molWeight,molVolume,nof_HBD,molCharge_total
206,0.7095238095238096,0.7714285714285715,molWeight,molVolume,nof_HBD,Complexity
208,0.7952380952380953,0.7714285714285714,molWeight,molVolume,nof_HBD,nof_negCharge
252,0.7285714285714286,0.7619047619047621,molWeight,molVolume,nof_Rings,C_sp3
253,0.8,0.7904761904761904,molWeight,molVolume,nof_Rings,posCharge/Volume
254,0.8238095238095239,0.7952380952380952,molWeight,molVolume,nof_Rings,negCharge/Volume
257,0.7952380952380953,0.7666666666666667,molWeight,molVolume,nof_Rings,nof_PO4
268,0.8285714285714285,0.7619047619047621,molWeight,molVolume,Complexity,C_R1
272,0.7952380952380953,0.7714285714285715,molWeight,molVolume,Complexity,negCharge/Volume
274,0.7,0.7714285714285714,molWeight,molVolume,Complexity,nof_Fragments
285,0.7952380952380953,0.7571428571428571,molWeight,molVolume,nof_posCharge,C_R1
311,0.8238095238095238,0.7666666666666667,molWeight,molVolume,nof_negCharge,nof_NH2
313,0.6238095238095238,0.7666666666666667,molWeight,molVolume,nof_negCharge,nof_OH
343,0.7952380952380953,0.7619047619047619,molWeight,molVolume,C_R2,nof_acetyl
356,0.7333333333333333,0.7619047619047619,molWeight,molVolume,C_R1,nof_acetyl
